,title,author,total words,vividness,passive voice,all adverbs,ly-adverbs,non-ly-adverbs,genre,year
0,The Teacher,Michael Ben-Naftali,50233.0,37.06,7.2,2.93,1.25,1.68,"['Historical Fiction', 'Fiction', 'Israel', 'Jewish', 'Literary Fiction', 'World War II', 'War']",2016.0
1,The Institute,Jakub Zulczyk,66557.0,57.45,7.48,2.92,1.28,1.63,"['Polish Literature', 'Fiction', 'Thriller', 'Poland', 'Mystery', 'Audiobook', 'Crime']",2010.0
2,"Emotional Abuse, A Manual For Self-Defense","Zak Mucha, Joel Dvoskin & Marc MacYoung",69187.0,16.18,9.42,2.55,0.92,1.63,"['Psychology', 'Self Help', 'Nonfiction']",2017.0
3,Relentless,Scott Bartlett & Joshua James,70433.0,36.34,9.27,3.18,1.1,2.09,['Science Fiction'],2021.0
4,Buying Time,E. M. Brown,96759.0,44.14,7.47,2.79,0.75,2.03,"['Science Fiction', 'Time Travel', 'Fiction', 'Speculative Fiction', 'Science Fiction Fantasy']",2018.0
5,Murder Around the Bend,John C. Dalgish,42478.0,43.3,7.87,2.73,0.79,1.95,"['Mystery', 'Fiction']",2019.0
6,Song of the Earth,Justin C. Trout,101003.0,59.91,5.4,1.66,0.48,1.18,[],2017.0
7,Woom,Matt Shaw & Duncan Ralston,30571.0,62.39,7.38,2.53,0.84,1.69,"['Horror', 'Fiction', 'Splatterpunk', 'Thriller', 'Novella', 'Dark', 'Adult']",2016.0
8,Fellaheen,Jon Courtenay Grimwood,104081.0,57.37,7.05,3.21,1.25,1.96,[],
9,Changes,Danielle Steel,128445.0,29.73,9.5,3.82,1.18,2.64,[],
10,The Last Days Of The United States,Robert A. Heinlein,5299.0,32.66,8.49,2.64,1.13,1.51,[],
11,Slewfoot,Gerald Brom,118924.0,59.29,6.55,2.61,0.66,1.96,[],
12,Soul Eater,Lindsey Fairleigh,70181.0,52.06,7.24,2.75,1.08,1.67,"['Urban Fantasy', 'Fantasy', 'Paranormal', 'Audiobook', 'Romance', 'Magic', 'Fiction']",2018.0
13,The Elementalist,J. R. Rain & Matthew S. Cox,54366.0,48.69,7.96,3.2,1.15,2.05,"['Paranormal', 'Mystery', 'Urban Fantasy', 'Fantasy']",2019.0
14,Such a Fun Age,Kily Reid,85131.0,48.33,7.58,3.06,1.05,2.01,['Fiction'],2020.0
15,Death in the Congo,David Ness,109942.0,43.53,8.03,2.27,0.63,1.64,[],
16,Three Kings,George R. R. Martin & Melinda M. Snodgrass,108373.0,46.05,9.06,3.36,1.12,2.24,"['Fantasy', 'Science Fiction', 'Superheroes', 'Anthologies']",2020.0
17,Chasing the Lion,A. J. Tata,101382.0,48.34,7.18,2.26,0.85,1.41,"['Thriller', 'Fiction', 'Adventure', 'Suspense', 'Mystery', 'Politics', 'Military Fiction']",2021.0
18,Autumn of the Patriarch,Gabriel Garcia Marquez,91820.0,62.01,5.46,1.62,0.24,1.37,[],
19,Light Over London,Julie Kelly,87228.0,45.07,8.53,2.68,0.81,1.86,[],
20,Gateway to War,J. N. Chaney & Christopher Hopper,93393.0,40.74,8.09,2.93,0.82,2.11,"['Science Fiction', 'Military Fiction', 'Fantasy']",2019.0
21,Act of Valor,Tom Clancy,87312.0,44.05,7.06,2.92,1.02,1.9,[],
22,What You Don't Remember,Kristy Cooper & Steve Johnson,79738.0,40.51,8.71,2.9,0.89,2.01,[],2021.0
23,"Pan's Labyrinth, The Labyrinth of the Faun",Guillermo del Toro & Cornelia Funke,53468.0,65.18,7.11,2.71,0.82,1.89,"['Fantasy', 'Horror', 'Young Adult', 'Fiction', 'Historical Fiction', 'Magical Realism', 'Historical']",2019.0
24,Mika,Lee Murray & Piper Mejia,18448.0,62.96,7.55,2.67,0.95,1.72,[],2015.0
25,Marital Law,David Brown,83104.0,35.58,7.81,3.03,1.27,1.76,[],
26,The Hardy Boys: Trapped At Sea,Franklin W. Dixon,31820.0,50.41,6.84,2.74,1.01,1.73,[],
27,Sunday After the War,Henry Miller,96205.0,37.88,7.87,3.1,1.15,1.95,[],
28,Peculiar Peril,Jeff VenderMeer,186786.0,59.57,7.68,3.35,0.85,2.5,[],2020.0
29,Twelve Naughty Days,Various Authors,103150.0,56.67,7.94,2.98,0.97,2.01,[],
30,Vision,Jesse Laeuchli,17540.0,44.28,6.19,3.1,1.49,1.61,[],
31,Duplicity,Charles A. Miller,84078.0,28.42,8.48,2.54,0.84,1.7,[],2021.0
32,The Silenced,Brett Battles,92583.0,32.79,9.15,2.94,0.61,2.33,[],
33,Into the Hourglass,Emily L. King,83434.0,73.77,6.5,2.25,0.63,1.62,"['Fantasy', 'Young Adult', 'Steampunk', 'Fiction', 'Audiobook', 'Romance', 'Amazon']",2019.0
34,The Easy Life,Marguerite Duras,38770.0,43.37,9.04,3.41,1.11,2.3,[],
35,The Outer Dark,Zachary Rawlins,203197.0,48.58,6.94,3.56,1.72,1.84,['Urban Fantasy'],2017.0
36,Trail of Poison,M. J. Richards,69702.0,41.57,8.77,2.8,0.73,2.07,[],2020.0
37,Lethal Agent,Vince Flynn & Kyle Mills,99734.0,41.79,8.62,2.87,1.28,1.59,"['Fiction', 'Thriller', 'Mystery', 'Mystery Thriller', 'Audiobook', 'Action', 'Espionage']",2019.0
38,Endgame,A. K. Duboff,58391.0,31.92,9.18,2.74,0.78,1.95,[],2019.0
39,Guise,Jack A. Salva,98903.0,46.38,7.19,3.18,1.39,1.78,['Science Fiction'],2022.0
40,The Heart of Man,Erich Fromm,16116.0,14.36,7.07,2.72,0.97,1.74,[],
41,Shadowcaster,Cinda Willians Chima,120780.0,49.58,9.01,2.74,0.76,1.97,"['Fantasy', 'Young Adult', 'Young Adult Fantasy', 'Magic', 'High Fantasy', 'Romance', 'Dragons']",2017.0
42,The Silver Chair,C. S. Lewis,51751.0,51.62,8.82,3.69,0.95,2.74,[],
43,The Long Reach,Michael Lesse,74277.0,29.6,10.74,3.33,1.18,2.15,"['Mystery', 'Mystery Thriller', 'Crime', 'Fiction', 'Amazon']",2018.0
44,A Rift Between Cities,Liz Delton,75687.0,49.02,6.97,3.31,1.31,2.0,[],
45,Virgo,Alathia Morgan,37202.0,29.43,10.71,2.78,0.82,1.96,[],
46,Hard Time,Jody Taylor,127200.0,37.96,9.34,4.36,1.93,2.44,"['Time Travel', 'Science Fiction', 'Fantasy', 'Fiction', 'Historical Fiction', 'Audiobook', 'Humor']",2020.0
47,The Hardy Boys: The Demolition Mission,Franklin W. Dixon,30031.0,48.8,6.96,2.62,1.15,1.48,[],
48,Where The Bodies Are Buried,A. S. French,64272.0,43.91,8.83,2.02,0.21,1.81,[],
49,Serpent Crescent,Vivian de Klerk,91947.0,55.35,7.16,3.63,1.47,2.16,['Fiction'],
50,Saggitarius,Alathia Morgan,29890.0,25.59,10.6,2.82,0.99,1.83,[],
51,Blood Awakens,Jessica Willis,132541.0,44.25,8.14,3.19,1.21,1.98,"['Fantasy', 'Dystopia', 'Adventure', 'Action', 'Urban Fantasy', 'Apocalyptic']",2019.0
52,Blood of Gods,David Dalglish & Robert J. Duperre,200391.0,62.01,5.94,2.69,0.95,1.75,"['Fantasy', 'Horror', 'Fiction']",2014.0
53,Empire Reborn,A. K. Duboff,109396.0,26.29,9.65,3.19,1.05,2.14,[],2021.0
54,Curse of Iron,D. D. Miers & Graceley Knox,60239.0,46.87,7.69,2.4,0.77,1.63,"['Fae', 'Shapeshifters', 'Urban Fantasy', 'Fantasy', 'Magic', 'Paranormal', 'Paranormal Romance']",2018.0
55,Fierce Conversations,Susan Craig Scott,72975.0,23.87,8.81,3.13,1.24,1.89,"['Self Help', 'Nonfiction', 'Psychology', 'Inspirational', 'Personal Development', 'Relationships', 'Productivity']",2022.0
56,Past Rites,Claire Stibbe,89541.0,62.48,7.63,2.22,0.6,1.61,[],
57,The Golden Road,L. M. Montgomery,75862.0,46.54,9.23,3.79,1.3,2.49,[],
58,Good Company,Arthur M. Blank,63322.0,26.78,7.68,2.54,0.93,1.61,"['Business', 'Nonfiction', 'Leadership', 'Biography', 'Sports']",2020.0
59,The Hardy Boys: The Robot's Revenge,Franklin W. Dixon,31522.0,48.91,7.13,2.92,1.19,1.74,[],
60,The Assistant's Secret,Emerald O'Brien,71851.0,46.91,8.08,2.07,0.46,1.61,"['Fiction', 'Mystery', 'Thriller', 'Psychological Thriller']",2020.0
61,In Her Shadow,Kristen Miller,97648.0,53.73,8.82,2.85,1.0,1.86,"['Mystery', 'Mystery Thriller', 'Thriller', 'Fiction', 'Adult', 'Retellings', 'Psychological Thriller']",2020.0
62,The Revision of Psychoanalysis,Erich Fromm,39700.0,18.73,6.96,3.33,1.58,1.75,[],
63,Shadows of Forgotten Ancestors,Carl Sagan & Ann Druyan,138270.0,51.87,7.12,3.55,1.69,1.87,"['Science', 'Nonfiction', 'History', 'Evolution', 'Biology', 'Philosophy', 'Anthropology']",1992.0
64,"The Executioner, Cyberthreat",Don Pendelton,49004.0,40.45,8.81,2.6,0.82,1.77,[],
65,The Hardy Boys: Reel Thrills,Franklin W. Dixon,32262.0,45.99,6.8,2.88,1.14,1.74,[],
66,The Wedding,Danielle Steel,143374.0,27.51,10.1,3.98,1.45,2.52,[],
67,Resistant,Rachel Sparks,55357.0,50.63,7.38,3.19,1.22,1.96,"['Science Fiction', 'Fiction', 'Romance', 'Adult Fiction', 'Adult']",2018.0
68,The Rage of Ares,Christian Cameron,146437.0,43.04,7.34,2.63,0.65,1.99,[],
69,Ashes of a Nightmare,Jalena Dunphy,101227.0,46.15,9.01,2.24,0.51,1.73,[],
70,Queen of Izmoroz,Jon Skovron,126111.0,39.11,8.51,4.39,1.83,2.56,[],
71,The Demagogue's Playbook,Eric A. Posner,71671.0,19.23,5.55,2.74,1.29,1.44,"['History', 'Politics', 'Audiobook', 'Nonfiction']",2020.0
72,The Perfect Lie,Susanna Beard,83698.0,46.55,9.33,3.3,1.02,2.28,[],
73,To The Death,Patrick Robinson,145377.0,41.1,7.21,3.33,1.38,1.95,"['Fiction', 'Thriller', 'Military Fiction', 'Terrorism', 'Action', 'War', 'Politics']",2008.0
74,Johana Gustawsson,The Bleeding,65546.0,53.74,7.4,2.47,0.71,1.77,[],
75,Night on Fire,L. T. Vargus & Tim McBain,96239.0,63.28,6.31,2.81,0.82,1.99,"['Thriller', 'Mystery', 'Crime', 'Fiction', 'Amazon', 'Mystery Thriller']",2019.0
76,The Beggar's Pawn,John L'Heureux,57214.0,31.15,9.11,3.26,1.01,2.25,"['Fiction', 'Contemporary', 'Family', 'Adult']",2020.0
77,Deeper,M. Malone & Nana Malone,60238.0,32.58,10.34,3.52,1.18,2.33,"['Romance', 'Amazon', 'Contemporary', 'Suspense', 'Romantic Suspense', 'Novella', 'Contemporary Romance']",2018.0
78,The Last Victim,L. T. Vargus & Tim McBain,14407.0,63.51,7.39,2.74,0.82,1.92,"['Mystery', 'Suspense', 'Thriller', 'Mystery Thriller', 'Crime']",2017.0
79,The Terranauts,T. C. Boyle,190806.0,49.1,8.48,2.96,1.01,1.95,[],
80,When the Apricots Bloom,Gina Wilkerson,90352.0,66.84,6.89,2.22,0.69,1.52,[],2020.0
81,Ardor,Roberto Calasso,126154.0,32.46,8.08,3.15,0.77,2.38,[],
82,The Hardy Boys: Spark of Suspicion,Franklin W. Dixon,30403.0,40.42,7.46,2.7,0.75,1.95,[],
83,The Hardy Boys: Passport To Danger,Franklin W. Dixon,30837.0,46.14,6.94,2.81,0.91,1.89,[],
84,Lock,Jordan Elizabeth,78236.0,75.86,6.35,2.05,0.48,1.57,[],
85,Canithrope,Vanessa Robertson,107311.0,60.2,7.79,3.08,1.29,1.79,"['Steampunk', 'Fantasy', 'Paranormal', 'Mystery']",2018.0
86,Cole Cuts,Michael Maxwell,62704.0,49.17,7.45,2.49,0.87,1.63,[],2020.0
87,The Battle for Earth,Raymond L. Weir,96548.0,34.61,9.05,3.05,1.12,1.93,[],2020.0
88,Bound for Gold,Willian Martin,189302.0,59.24,6.03,2.46,0.35,2.12,"['Historical Fiction', 'Fiction', 'Mystery', 'Historical', 'Adult', 'Mystery Thriller', 'Action']",2018.0
89,Trail of Terror,John West,172417.0,53.32,7.05,3.26,1.45,1.81,[],
90,I Want to Die but I Want to Eat Tteokbokki,Baek Sehee,35101.0,18.87,10.47,3.81,1.21,2.6,[],
91,Galileo's New Universe,Stephen P. Maran & Laurence A. Marschall,59444.0,60.45,6.16,2.81,1.21,1.6,[],
92,Don't Let Go,Michael Bussi,91635.0,57.69,7.45,2.92,1.03,1.89,"['Thriller', 'Crime', 'Mystery', 'France', 'Fiction', 'Suspense', 'French Literature']",2013.0
93,Spell Tricked,Eliza Grace,54602.0,55.07,8.91,3.32,1.01,2.3,[],
94,Lisa Ballantyne,Little Liar,83588.0,56.38,8.21,2.52,0.72,1.8,[],
95,"Conversations With God, Book 3",Neal Donald Walsch,100137.0,15.24,11.44,4.23,1.27,2.95,[],
96,Don't Look Back,Jay Nadal & Adam Nicholls,26417.0,47.3,7.47,2.56,0.73,1.83,[],2018.0
97,Girl Watcing You,J. A. Schneider,74583.0,65.86,7.19,3.2,1.19,2.01,[],
98,The Oxford Brotherhood,Guillermo Martinez,83055.0,29.53,7.64,3.14,1.13,2.01,[],
99,Not Even for Love,Sandra Brown,46682.0,57.73,7.68,3.74,1.84,1.9,[],
100,Faith and Fury,Tiger Herbert,53700.0,57.83,6.97,2.93,1.09,1.83,[],
101,Werewolf Castle,Tracey Falbe,166143.0,54.3,5.59,2.52,1.19,1.33,[],
102,Tell Me You're Sorry,Kevin O'Brien,137035.0,47.27,8.18,2.64,0.75,1.89,"['Mystery', 'Thriller', 'Suspense', 'Mystery Thriller', 'Fiction', 'Psychological Thriller', 'Crime']",2014.0
103,Ruins,Brian Aldiss,24185.0,54.12,7.46,2.89,1.08,1.81,[],
104,The Hardy Boys: Maximum Challenge,Franklin W. Dixon,28794.0,48.88,7.59,2.64,0.87,1.76,[],
105,Bone White Seeds,Matthew Smith,31048.0,41.89,8.76,3.4,1.59,1.81,[],
106,Political Gastronomy,Michael A. LaCombe,63053.0,38.48,4.65,2.58,1.24,1.34,[],
107,The Blue Door,Vincert Starrett,110153.0,38.74,8.8,3.87,1.73,2.13,[],
108,Dead and Alive,Photis George,55462.0,31.49,9.52,3.48,0.83,2.65,[],
109,The Return of the King,J. R. R. Tolkien,135159.0,48.34,7.32,3.14,0.58,2.55,[],
110,The Darkness Knows,Arnaldur Indridason,82429.0,32.67,10.37,2.98,1.13,1.85,"['Mystery', 'Crime', 'Thriller', 'Fiction', 'Nordic Noir', 'Mystery Thriller', 'Scandinavian Literature']",2017.0
111,A Case of Hate,Rex Darby,25959.0,37.16,9.1,3.06,1.13,1.93,[],
112,Death and the Harlot,Georgia Clarke,87258.0,45.49,9.2,3.01,1.05,1.96,"['Historical Fiction', 'Mystery', 'Crime', 'Historical', 'Historical Mystery', 'Fiction', 'Audiobook']",2019.0
113,The Wisdom of Tea,Noriko Morishida,37083.0,70.27,7.28,3.45,1.5,1.94,"['Nonfiction', 'Japan', 'Japanese Literature', 'Tea', 'Philosophy', 'Biography', 'Asia']",2002.0
114,Carved In Stone,Julie Shupe,109154.0,42.43,10.42,2.92,1.07,1.86,[],2018.0
115,Star Sailors,James McNaughton,137118.0,63.24,7.31,2.8,1.31,1.49,[],
116,Dead Man's Hand,George R. R. Martin & John Jos. Miller,118221.0,57.36,7.57,2.89,1.16,1.73,[],
117,The Games House,Claire North,107360.0,50.98,7.2,2.96,0.73,2.23,[],
118,Death Comes to Dartmoor,Vivan Conroy,78052.0,46.93,9.41,3.09,0.9,2.18,"['Mystery', 'Historical Fiction', 'Historical Mystery', 'Historical', 'British Literature', 'Cozy Mystery', 'Fiction']",2019.0
119,No Escape,Nolon King & David Wright,74430.0,40.5,8.35,2.73,0.67,2.07,[],
120,Empire Games Series,Charles Stross,106636.0,44.6,7.65,3.19,1.37,1.82,[],
121,The Hardy Boys: Game Plan For Disaster,Franklin W. Dixon,35794.0,31.67,9.14,3.17,1.08,2.09,[],
122,The New Girl,Ingrid Alexandria,70824.0,56.34,9.39,2.64,0.8,1.84,[],
123,The Lazy Man's Guide to Marathon Running,Sky Pelletier Waterpeace,87296.0,40.78,7.62,4.43,2.11,2.32,[],
124,"Reaper, Drone Strike",Nichalas Irving & A. J. Tata,89558.0,50.76,7.57,2.27,0.87,1.4,"['Fiction', 'Thriller', 'War', 'Military Fiction']",2020.0
125,The Otherside of Midnight,Sidney Sheldon,135704.0,37.09,8.49,2.71,1.16,1.55,[],
126,Guarded Prognosis,"Richard L. Mabry, M. D.",64500.0,32.4,9.23,2.9,0.86,2.03,[],
127,I'm Glad My Mom Died,Jennette Mccurdy,86764.0,44.2,8.96,3.49,1.11,2.39,[],2023.0
128,Sky Lift,Robert A. Heinlein,5319.0,40.63,8.12,2.84,0.98,1.86,[],
129,The Creative Mindset,Jeff DeGraff & Staney DeGraff,35768.0,28.46,6.22,2.87,1.08,1.79,"['Business', 'Nonfiction']",2020.0
130,Portral,Kristen Painter & Bruno Miller,68652.0,42.84,9.5,3.25,1.11,2.14,[],
131,Slow Burn,Rachel Caine,80192.0,76.45,6.19,2.36,0.95,1.41,[],
132,A Lady of Quality,Frances Hodgson Burnett,84150.0,41.45,7.52,2.66,0.63,2.03,[],
133,Raising an Emotionally Intelligent Child,John Gottman & Joan Declaire,68991.0,18.41,7.53,3.31,1.27,2.04,"['Parenting', 'Nonfiction', 'Psychology', 'Self Help', 'Childrens', 'Relationships', 'Education']",1997.0
134,Death by Alphabet,Kristine Frost,71165.0,32.03,10.62,2.59,0.92,1.67,[],
135,Nancy Drew: The Spider Saphire Mystery,Carolyn Keene,34823.0,45.26,8.04,2.98,1.1,1.88,[],
136,Umtata,Brian Godfrey,68775.0,31.13,8.27,2.87,1.0,1.87,[],
137,The Hardy Boys: One False Step,Franklin W. Dixon,30531.0,32.85,9.3,3.28,0.95,2.33,[],
138,Hear Me,Julie North,77858.0,65.25,7.34,2.63,0.94,1.69,[],2017.0
139,Dead Astronauts,Jeff Vandermeer,64472.0,68.95,6.69,2.48,0.23,2.24,"['Science Fiction', 'Fiction', 'Fantasy', 'Weird Fiction', 'Dystopia', 'Horror', 'Speculative Fiction']",2019.0
140,The Rebel and the Thief,Jan-Philipp Sendker,71242.0,49.79,8.56,2.79,0.9,1.89,[],
141,What She Didnt See,Heather Wynter,29894.0,43.71,8.17,2.19,0.36,1.83,[],
142,Bobby Hall,This Bright Future,121867.0,33.35,10.12,2.89,0.67,2.22,[],
143,First Lensman,Edward E. Smith,98399.0,33.8,9.08,4.74,2.1,2.64,[],
144,Winterborn,Sherrilyn Kenyon,20983.0,41.92,8.51,3.08,1.15,1.93,[],
145,Raven,Tim Reiterman & John Jacobs,269125.0,37.0,5.96,2.67,1.15,1.52,[],
146,What Hell Is Not,Alessandro D'Avenia,84447.0,45.82,9.18,2.61,0.59,2.01,"['Fiction', 'Italian Literature', 'Contemporary', 'Italy', 'School', 'Novels', 'Read For School']",2014.0
147,The Ruin Of Snow,Lacy Shweidan,114487.0,49.53,8.6,2.1,0.44,1.66,[],2021.0
148,House of Fear and Freedom,Kimberly J. Ward,101775.0,65.29,6.88,3.26,1.44,1.82,['Fantasy'],2019.0
149,397 Journal Writing Prompts & Ideas,Scott Green,8101.0,30.07,10.69,3.0,0.79,2.21,[],
150,Cole Mine,Michael Maxwell,70541.0,39.96,8.4,2.8,0.93,1.87,[],2019.0
151,The Failures of Sherlock Holmes,Annette Siketa,60317.0,33.66,8.39,4.06,1.59,2.48,[],
152,Just Kill Them,Michael Lesse,78885.0,31.47,9.95,3.35,1.21,2.14,"['Crime', 'Mystery']",2019.0
153,Spellbound,Kelley Armstrong,91922.0,35.04,9.56,2.91,0.79,2.12,[],
154,Children of the White Star,Linda Thackery,96768.0,36.83,7.98,2.72,0.97,1.76,[],2019.0
155,The Blood of Saints,Nick Dorsey,100482.0,47.97,8.14,2.35,0.57,1.78,[],
156,Mountain Ghost,Christoffer Petersen,63413.0,48.84,6.71,2.17,0.43,1.75,[],
157,Bay of Killers,Paul Sinclair,82690.0,42.97,7.85,3.04,1.09,1.95,[],
158,The Third Bear,Jeff Vandermeer,96070.0,54.21,7.56,2.63,0.7,1.92,"['Fantasy', 'Short Stories', 'Fiction', 'Horror', 'Science Fiction', 'New Weird', 'Weird Fiction']",2010.0
159,The Hardy Boys: Three-Ring Terror,Franklin W. Dixon,30596.0,41.5,7.45,2.61,0.93,1.69,[],
160,Jack O'Donnell,Lily Poole,85512.0,75.16,5.37,1.62,0.53,1.09,[],
161,My Lover's Lover,Maggie O'Farrell,80291.0,74.99,7.17,2.77,0.86,1.91,"['Fiction', 'Contemporary', 'Romance', 'Mystery', 'Literary Fiction', 'Suspense', 'Chick Lit']",2002.0
162,Congo Journey,Redmond O'Hanlon,202914.0,74.84,6.02,2.1,0.65,1.45,"['Travel', 'Africa', 'Nonfiction', 'Adventure', 'Memoir', 'Animals', 'Biography']",1996.0
163,Northern Light,Christopher Petersen,65083.0,43.27,7.29,1.99,0.54,1.45,['Thriller'],
164,The Hardy Boys: Cross-country Crime,Franklin W. Dixon,31549.0,44.59,7.54,2.55,0.66,1.89,[],
165,Time is a Killer,Michael Bussi,133934.0,49.34,7.76,2.51,0.83,1.68,"['Thriller', 'Crime', 'Mystery', 'France', 'Fiction', 'Roman', 'Suspense']",2016.0
